customer_id,full_name,age,gender,phone_number,national_id,address,employment_status,monthly_income,credit_score,is_existing_customer
CUST-01FB0C50,Kevin Lee,38,Male,555-012-3456,XXX-XX-0123,"New York, NY",Salaried,10000,730,False
CUST-021198E7,Patricia Wilson,70,Female,555-917-4028,XXX-XX-8901,"Orlando, FL",Retired,3500,600,False
CUST-0211ED9D,Michael Johnson,30,Male,555-852-9637,XXX-XX-0123,"Chicago, IL",Salaried,9000,800,False
CUST-02139308,Kevin Thompson,31,Male,555-159-7531,XXX-XX-8045,"San Francisco, CA",Self-employed,12000,730,False
CUST-02368289,Kevin Johnson,40,Male,555-314-1592,XXX-XX-9265,"New York, NY",Salaried,10000,800,False
CUST-02470756,Ashley Green,25,Female,555-954-0678,XXX-XX-4567,"New York, NY",Salaried,10000,800,False
CUST-024AC830,Kevin Lee,22,Male,555-478-2963,XXX-XX-8014,"New York, NY",Salaried,3800,580,False
CUST-024DC371,Grace Hill,38,Female,555-731-4567,XXX-XX-8901,"Dallas, TX",Self-employed,12000,800,False
CUST-02554E57,Kevin Rodriguez,22,Male,555-837-4629,XXX-XX-0123,"Austin, TX",Salaried,4500,600,False
CUST-025F2B5B,Patricia Green,70,Female,555-948-2736,XXX-XX-4567,"San Diego, CA",Retired,3000,600,False
CUST-026124BE,Linda Rodriguez,40,Female,555-628-9347,XXX-XX-6789,"Los Angeles, CA",Self-employed,5500,620,False
CUST-0272EFEF,Maria Hernandez,40,Female,555-012-3456,XXX-XX-4567,"San Antonio, TX",Salaried,5000,690,True
CUST-0281D64C,Kevin Lee,38,Male,555-159-7530,XXX-XX-4680,"Dallas, TX",Salaried,10000,700,True
CUST-02843E58,Patricia Davis,70,Female,555-714-9286,XXX-XX-6789,"Orlando, FL",Retired,3500,580,False
CUST-02849BDD,Kevin Adams,32,Male,555-111-2222,XXX-XX-4567,"San Francisco, CA",Unemployed,0,550,False
CUST-0292C658,Patricia Davis,70,Female,555-703-8249,XXX-XX-2468,"Orlando, FL",Retired,3200,600,False
CUST-029D4DFA,George Thompson,55,Male,555-459-1357,XXX-XX-6789,"Dallas, TX",Unemployed,2800,550,False
CUST-02B15963,Ashley Johnson,22,Female,555-963-8520,XXX-XX-4567,"New York, NY",Salaried,4500,750,False
CUST-02E06A6C,George Thompson,70,Male,555-837-9521,XXX-XX-0123,"San Diego, CA",Retired,3000,600,False
CUST-0304F584,George Wilson,70,Male,555-456-7890,XXX-XX-2345,"Orlando, FL",Retired,3000,620,False
CUST-030F46CC,Patricia Wilson,71,Female,555-951-7531,XXX-XX-8901,"Orlando, FL",Retired,3800,600,False
CUST-031CA7A2,Maria Garcia,40,Female,555-947-2580,XXX-XX-4567,"San Francisco, CA",Salaried,7000,700,False
CUST-031DB323,Maria Garcia,48,Female,555-951-7418,XXX-XX-5678,"New York, NY",Salaried,10000,820,False
CUST-0339D154,Jack Thompson,50,Male,555-135-7924,XXX-XX-8901,"Denver, CO",Salaried,10000,790,True
CUST-03411670,Kevin Lee,25,Male,555-895-0123,XXX-XX-4567,"New York, NY",Unemployed,0,550,False
CUST-03471176,Kevin O'Connell,30,Male,555-895-2634,XXX-XX-4713,"San Francisco, CA",Salaried,10000,800,False
CUST-03578640,Maria Rodriguez,31,Female,555-734-9502,XXX-XX-6789,"Los Angeles, CA",Self-employed,8500,750,False
CUST-036324B0,Maria Rodriguez,48,Female,555-741-9632,XXX-XX-2468,"Los Angeles, CA",Salaried,8000,620,False
CUST-03697B03,David Wilson,25,Male,555-625-8394,XXX-XX-2345,"Chicago, IL",Salaried,5000,700,True
CUST-0371FB46,Brian Thompson,39,Male,555-268-4915,XXX-XX-8901,"Dallas, TX",Unemployed,0,580,False
CUST-037F1DE8,Patricia Rodriguez,55,Female,555-481-5169,XXX-XX-6789,"San Antonio, TX",Salaried,12000,810,True
CUST-03852859,Isabelle Garcia,22,Female,555-914-7359,XXX-XX-8024,"Boston, MA",Salaried,4000,600,False
CUST-039985C5,Patricia Green,48,Female,555-012-3456,XXX-XX-8901,"San Francisco, CA",Salaried,12000,800,True
CUST-039C36EE,George Thompson,70,Male,555-840-2618,XXX-XX-0123,"San Diego, CA",Retired,3000,600,False
CUST-039CD87B,Kevin Rodriguez,22,Male,555-852-0741,XXX-XX-0123,"New York, NY",Salaried,4500,620,False
CUST-03B375FA,Anthony Garcia,30,Male,555-852-9631,XXX-XX-4680,"Los Angeles, CA",Salaried,8000,750,False
CUST-03BE1D7D,Maria Lopez,42,Female,555-678-9012,XXX-XX-1516,"San Antonio, TX",Self-employed,5500,620,False
CUST-03C061D4,Jack Miller,50,Male,555-012-3456,XXX-XX-9012,"Denver, CO",Salaried,12000,820,True
CUST-03CAD8CF,Linda Garcia,40,Female,555-753-9123,XXX-XX-2468,"Chicago, IL",Self-employed,5500,620,False
CUST-03D2462B,Kevin Thompson,30,Male,555-159-3571,XXX-XX-0246,"Dallas, TX",Self-employed,12000,800,False
CUST-03D612B0,Maria Garcia,42,Female,555-793-2581,XXX-XX-9123,"Los Angeles, CA",Self-employed,12000,800,False
CUST-03D6FE86,George Thompson,70,Male,555-630-8421,XXX-XX-0123,"San Diego, CA",Retired,3000,550,False
CUST-03E2843D,George Thompson,70,Male,555-801-3579,XXX-XX-4680,"Orlando, FL",Retired,3000,600,False
CUST-03FFBDFC,Ashley Green,22,Female,555-951-7890,XXX-XX-4680,"San Francisco, CA",Salaried,4500,690,False
CUST-040083E5,Kevin Lee,31,Male,555-852-1470,XXX-XX-2580,"San Francisco, CA",Self-employed,12000,620,False
CUST-04201172,Robert Williams,65,Male,555-987-6543,XXX-XX-5678,"Miami, FL",Retired,4000,680,True
CUST-0443FE36,Ashley Wilson,22,Female,555-741-8526,XXX-XX-6789,"Los Angeles, CA",Salaried,4500,620,False
CUST-044A9862,Linda Garcia,48,Female,555-012-3456,XXX-XX-4567,"San Francisco, CA",Self-employed,12000,750,False
CUST-044E1B07,David Lee,50,Male,555-847-9632,XXX-XX-8024,"Chicago, IL",Self-employed,12000,750,True
CUST-046D5F73,Patricia Wilson,68,Female,555-016-7283,XXX-XX-2345,"Orlando, FL",Retired,3500,580,False
CUST-04B22B75,Kevin O'Connell,31,Male,555-842-9637,XXX-XX-4567,"San Francisco, CA",Salaried,10000,800,False
CUST-04B4654B,Maria Garcia,40,Female,555-987-1234,XXX-XX-6802,"San Antonio, TX",Salaried,5500,690,False
CUST-04BD24CC,Kevin Lee,25,Male,555-834-9123,XXX-XX-4567,"New York, NY",Salaried,12000,750,False
CUST-04E3B9E9,Patricia Wilson,68,Female,555-914-7531,XXX-XX-6802,"Orlando, FL",Retired,3800,620,False
CUST-04EE7E38,Brenda Davis,48,Female,555-901-2345,XXX-XX-8901,"Los Angeles, CA",Salaried,7000,690,True
CUST-04F04742,Maria Rodriguez,40,Female,555-753-9021,XXX-XX-6789,"Los Angeles, CA",Self-employed,5500,620,False
CUST-04F26EDD,Kevin Lee,33,Male,555-068-2491,XXX-XX-3579,"Boston, MA",Salaried,10000,700,False
CUST-04FBEE37,Kevin O'Connell,30,Male,555-159-7531,XXX-XX-2468,"San Francisco, CA",Self-employed,12000,800,False
CUST-05325F1B,Linda Garcia,42,Female,555-012-3456,XXX-XX-2345,"San Francisco, CA",Salaried,8000,750,False
CUST-0551659F,Linda Wilson,48,Female,555-963-2587,XXX-XX-4567,"San Diego, CA",Self-employed,6000,600,False
CUST-056C9976,Kevin Davis,40,Male,555-012-3456,XXX-XX-8901,"Dallas, TX",Unemployed,0,550,False
CUST-05A379C8,Patricia Johnson,70,Female,555-714-2896,XXX-XX-9123,"Orlando, FL",Retired,3500,600,False
CUST-05A73D39,Kevin Patel,40,Male,555-895-2634,XXX-XX-0123,"New York, NY",Self-employed,12000,750,False
CUST-05AAB35F,Maria Garcia,40,Female,555-948-2735,XXX-XX-5791,"San Francisco, CA",Self-employed,12000,750,True
CUST-05C13C11,Brian Thompson,29,Male,555-475-8309,XXX-XX-6042,"Portland, OR",Salaried,10000,820,False
CUST-05C27E6C,Linda Martinez,42,Female,555-753-0987,XXX-XX-6789,"San Antonio, TX",Salaried,5500,620,False
CUST-05C57729,Ashley Green,25,Female,555-914-7890,XXX-XX-0123,"New York, NY",Salaried,10000,820,False
CUST-05C98870,Jack Thompson,42,Male,555-111-2222,XXX-XX-8901,"Denver, CO",Unemployed,0,550,False
CUST-05E36F68,Maria Sanchez,25,Female,555-016-7283,XXX-XX-4567,"San Francisco, CA",Salaried,9500,820,False
CUST-06061BF2,David Lee,25,Male,555-628-9341,XXX-XX-2345,"Austin, TX",Salaried,4500,600,False
CUST-0610CFD4,Ashley Green,22,Female,555-111-2222,XXX-XX-2345,"Austin, TX",Salaried,4500,690,False
CUST-065042A6,George Thompson,70,Male,555-852-9631,XXX-XX-4567,"San Diego, CA",Retired,3500,600,False
CUST-06521187,Henry Brown,40,Male,555-845-2678,XXX-XX-1234,"Dallas, TX",Self-employed,12000,750,False
CUST-066068B2,Brenda Smith,40,Female,555-159-7532,XXX-XX-4567,"San Francisco, CA",Salaried,8000,750,False
CUST-06B75735,Brian Thompson,29,Male,555-159-7530,XXX-XX-8901,"Dallas, TX",Salaried,8000,750,False
CUST-06C0A718,Ashley Davis,22,Female,555-864-2010,XXX-XX-6789,"New York, NY",Salaried,5000,690,False
CUST-06C84361,Kevin Thompson,30,Male,555-111-2222,XXX-XX-8901,"Dallas, TX",Self-employed,12000,800,True
CUST-06CC2059,Grace Taylor,38,Female,555-741-8526,XXX-XX-2468,"San Francisco, CA",Salaried,10000,750,False
CUST-06DEC9BC,Kevin O'Connell,31,Male,555-840-9631,XXX-XX-0123,"San Francisco, CA",Salaried,10000,800,False
CUST-06E1C9D8,David Wilson,25,Male,555-603-9246,XXX-XX-1357,"Chicago, IL",Salaried,5000,750,False
CUST-06E30B92,Brian Thompson,22,Male,555-456-7890,XXX-XX-3456,"Portland, OR",Salaried,4500,620,False
CUST-06F2C39F,George Thompson,58,Male,555-268-4915,XXX-XX-8901,"Dallas, TX",Unemployed,2000,550,False
CUST-06F5153F,Maria Garcia,40,Female,555-951-7358,XXX-XX-6802,"San Francisco, CA",Self-employed,12000,800,True
CUST-070194E2,Patricia Wilson,70,Female,555-714-2896,XXX-XX-4680,"Orlando, FL",Retired,3500,600,False
CUST-071EB766,Patricia Johnson,72,Female,555-111-2222,XXX-XX-8901,"Orlando, FL",Retired,3500,620,False
CUST-071FD58C,Patricia Davis,72,Female,555-714-9358,XXX-XX-6789,"San Diego, CA",Retired,3800,620,False
CUST-07281859,Ashley Green,22,Female,555-012-3456,XXX-XX-4567,"New York, NY",Salaried,4800,690,False
CUST-075A7765,Michael Johnson,32,Male,555-852-9630,XXX-XX-2468,"Chicago, IL",Self-employed,9000,750,False
CUST-076A9C12,Ashley Davis,22,Female,555-714-9326,XXX-XX-1357,"Los Angeles, CA",Salaried,4500,620,False
CUST-0777367E,Anthony Davis,29,Male,555-159-3571,XXX-XX-8901,"New York, NY",Salaried,10000,800,False
CUST-077C747F,Brenda Smith,40,Female,555-016-7283,XXX-XX-8901,"New York, NY",Self-employed,12000,700,False
CUST-07D9E62C,Ashley Williams,22,Female,555-963-8520,XXX-XX-4567,"New York, NY",Salaried,3500,580,False
CUST-07DF0D21,Anthony Davis,40,Male,555-063-2847,XXX-XX-1234,"New York, NY",Self-employed,12000,790,True
CUST-07EA6318,David Rodriguez,55,Male,555-627-9384,XXX-XX-2345,"Phoenix, AZ",Salaried,9000,700,False
CUST-081041A6,Kevin Lee,25,Male,555-837-9456,XXX-XX-1234,"New York, NY",Salaried,10000,800,False
CUST-081E1F85,Ashley Johnson,22,Female,555-963-2580,XXX-XX-8901,"New York, NY",Salaried,4500,600,False
CUST-081F3DFF,Maria Garcia,40,Female,555-963-2581,XXX-XX-4703,"San Francisco, CA",Salaried,9500,700,True
CUST-082CAA60,George Taylor,35,Male,555-432-1098,XXX-XX-7890,"Atlanta, GA",Unemployed,0,550,False
CUST-0837D316,Ashley Taylor,22,Female,555-963-2580,XXX-XX-4567,"New York, NY",Salaried,4500,620,False
CUST-083C2C7F,Grace Taylor,35,Female,555-714-9632,XXX-XX-1357,"Seattle, WA",Salaried,6000,750,False
CUST-0860964F,Susan White,22,Female,555-016-7890,XXX-XX-8901,"New York, NY",Salaried,4500,600,False
CUST-087058D0,George Thompson,58,Male,555-159-3570,XXX-XX-6789,"Philadelphia, PA",Unemployed,2800,550,False
CUST-087A9745,Ashley Green,22,Female,555-012-3456,XXX-XX-5791,"New York, NY",Salaried,4500,750,False
CUST-0892931A,Anthony Wilson,31,Male,555-852-9630,XXX-XX-4567,"San Francisco, CA",Self-employed,12000,800,False
CUST-0893F7D2,Henry Brown,72,Male,555-876-5432,XXX-XX-0123,"Phoenix, AZ",Retired,3500,600,False
CUST-08FABADD,Brenda Smith,48,Female,555-963-1470,XXX-XX-8901,"San Francisco, CA",Salaried,8000,750,True
CUST-090B608A,Linda Garcia,40,Female,555-741-9638,XXX-XX-6789,"Los Angeles, CA",Self-employed,5500,620,False
CUST-091B8BA0,Isabelle Garcia,22,Female,555-948-2736,XXX-XX-5791,"Boston, MA",Salaried,4000,650,False
CUST-09689F9A,Patricia Wilson,40,Female,555-734-9526,XXX-XX-6789,"Los Angeles, CA",Salaried,8500,750,True
CUST-097D2721,Kevin Lee,25,Male,555-830-9521,XXX-XX-4680,"New York, NY",Unemployed,0,550,False
CUST-097F47F6,Frank Miller,58,Male,555-625-8429,XXX-XX-1357,"Phoenix, AZ",Retired,3800,620,False
CUST-098F809E,Kevin Brown,29,Male,555-678-9012,XXX-XX-3579,"Los Angeles, CA",Salaried,10000,800,False
CUST-09955E02,Kevin Patel,22,Male,555-890-1234,XXX-XX-0123,"New York, NY",Salaried,4500,620,False
CUST-09A1B702,Ashley Thompson,22,Female,555-098-7654,XXX-XX-4567,"San Francisco, CA",Salaried,4500,600,False
CUST-09B69BD3,David Lee,58,Male,555-625-8421,XXX-XX-2468,"Miami, FL",Retired,3500,600,False
CUST-09BC9D2F,James Wilson,42,Male,555-825-1470,XXX-XX-0246,"Denver, CO",Self-employed,10000,620,False
CUST-09BF1B89,Kevin Patel,40,Male,555-159-7531,XXX-XX-8024,"New York, NY",Salaried,12000,820,True
CUST-09CC8500,Patricia Wilson,68,Female,555-016-7890,XXX-XX-4567,"Orlando, FL",Retired,3500,580,False
CUST-09D6C629,Kevin Garcia,30,Male,555-895-2614,XXX-XX-4789,"San Francisco, CA",Self-employed,12000,620,False
CUST-09D74732,Patricia Rodriguez,58,Female,555-482-9157,XXX-XX-7890,"Chicago, IL",Unemployed,2800,550,False
CUST-09D9C00D,Isabella Garcia,29,Female,555-925-1470,XXX-XX-8024,"Boston, MA",Salaried,7500,820,False
CUST-09F0D55F,Maria Sanchez,33,Female,555-914-7536,XXX-XX-4680,"Miami, FL",Salaried,5500,690,False
CUST-0A0A439C,Brenda Smith,40,Female,555-975-3186,XXX-XX-4680,"San Francisco, CA",Salaried,8000,690,False
CUST-0A1F7A7E,George Wilson,71,Male,555-837-2648,XXX-XX-0123,"San Diego, CA",Retired,3000,600,False
CUST-0A255E6A,Kevin Lee,40,Male,555-012-3456,XXX-XX-8901,"San Francisco, CA",Salaried,12000,820,False
CUST-0A5897F2,George Wilson,52,Male,555-264-9173,XXX-XX-8901,"New York, NY",Salaried,10000,690,True
CUST-0A9C7B37,Maria Garcia,40,Female,555-012-3456,XXX-XX-5678,"San Francisco, CA",Salaried,12000,790,True
CUST-0AB214F8,Anthony Ramirez,22,Male,555-111-2222,XXX-XX-5678,"New York, NY",Salaried,4500,600,False
CUST-0AB909E9,Ashley Taylor,29,Female,555-918-4753,XXX-XX-8024,"New York, NY",Salaried,10000,820,False
CUST-0ABC2107,Kevin Patel,32,Male,555-852-9631,XXX-XX-0123,"Chicago, IL",Self-employed,12000,750,False
CUST-0AFD67AD,Kevin Williams,40,Male,555-897-2468,XXX-XX-9135,"San Francisco, CA",Self-employed,12000,700,False
CUST-0B017B31,George Thompson,50,Male,555-036-9258,XXX-XX-1357,"New York, NY",Unemployed,0,550,False
CUST-0B051D26,Ashley Brown,25,Female,555-941-7530,XXX-XX-8901,"San Francisco, CA",Salaried,7000,790,False
CUST-0B26A66C,Maria Hernandez,29,Female,555-948-2601,XXX-XX-8024,"San Francisco, CA",Salaried,6000,700,False
CUST-0B28A141,Kevin Garcia,31,Male,555-845-9637,XXX-XX-0123,"New York, NY",Self-employed,12000,800,True
CUST-0B5B85E2,Frank Miller,58,Male,555-625-9374,XXX-XX-1357,"Phoenix, AZ",Retired,3800,620,False
CUST-0B7D190A,Isabelle Garcia,22,Female,555-049-7318,XXX-XX-4680,"Austin, TX",Salaried,4000,600,False
CUST-0B8CC058,Susan Adams,40,Female,555-963-2581,XXX-XX-8901,"San Francisco, CA",Self-employed,8000,750,False
CUST-0B90AF3B,Linda Rodriguez,52,Female,555-734-9506,XXX-XX-6789,"Los Angeles, CA",Self-employed,12000,800,False
CUST-0B982253,Kevin Rodriguez,22,Male,555-852-9637,XXX-XX-8024,"New York, NY",Unemployed,0,550,False
CUST-0BA5A5AA,Linda Davis,70,Female,555-734-8596,XXX-XX-6789,"Seattle, WA",Retired,3500,580,False
CUST-0BD3CFC4,Brenda Smith,40,Female,555-963-2587,XXX-XX-8901,"New York, NY",Self-employed,12000,800,True
CUST-0BDCE8E6,Ashley Green,25,Female,555-948-2736,XXX-XX-8024,"San Francisco, CA",Salaried,10000,820,False
CUST-0BEE0FF7,Kevin Patel,30,Male,555-895-2631,XXX-XX-4791,"Chicago, IL",Self-employed,12000,750,False
CUST-0BF64987,Henry Thompson,50,Male,555-111-2222,XXX-XX-0001,"Los Angeles, CA",Unemployed,0,550,False
CUST-0C17AB89,Anthony King,33,Male,555-417-2958,XXX-XX-9135,"Dallas, TX",Salaried,12000,820,True
CUST-0C348FD8,Linda Garcia,40,Female,555-963-2581,XXX-XX-4567,"San Diego, CA",Self-employed,8000,750,False
CUST-0C3D5224,Isabella Garcia,29,Female,555-963-2581,XXX-XX-8024,"Boston, MA",Salaried,9500,820,False
CUST-0C42DA21,Kevin O'Connell,31,Male,555-617-2834,XXX-XX-4567,"San Francisco, CA",Salaried,9500,800,False
CUST-0C49CD18,Anthony Davis,31,Male,555-086-4297,XXX-XX-8901,"New York, NY",Salaried,10000,820,False
CUST-0C4A1734,Maria Garcia,31,Female,555-016-7284,XXX-XX-4567,"San Francisco, CA",Salaried,8000,750,False
CUST-0C5C8C0F,Maria Garcia,40,Female,555-159-3571,XXX-XX-6789,"New York, NY",Salaried,9500,730,False
CUST-0C5E1458,Emily Brown,28,Female,555-481-5165,XXX-XX-7890,"Houston, TX",Unemployed,0,550,False
CUST-0C673B1A,George Thompson,58,Male,555-111-2222,XXX-XX-4680,"Orlando, FL",Retired,3200,600,False
CUST-0C6978BA,Linda Garcia,70,Female,555-741-9638,XXX-XX-8901,"San Antonio, TX",Retired,3500,580,False
CUST-0C7385DD,Ashley Rodriguez,22,Female,555-734-0928,XXX-XX-6789,"Los Angeles, CA",Salaried,4800,700,False
CUST-0C94F9AA,Anthony Garcia,31,Male,555-852-7410,XXX-XX-0123,"New York, NY",Salaried,8500,750,False
CUST-0CCCB374,Brenda Smith,40,Female,555-792-4680,XXX-XX-2468,"Los Angeles, CA",Self-employed,5500,620,False
CUST-0CE0A80A,Susan White,40,Female,555-975-3186,XXX-XX-6802,"San Francisco, CA",Self-employed,12000,750,False
CUST-0CE29B45,Linda Peterson,70,Female,555-963-8520,XXX-XX-4567,"San Diego, CA",Retired,3000,600,False
CUST-0CE3ECAF,Ashley Taylor,22,Female,555-159-7531,XXX-XX-8901,"New York, NY",Salaried,4500,650,False
CUST-0CE454B0,Ethan White,27,Male,555-036-7890,XXX-XX-8901,"San Francisco, CA",Salaried,8500,770,False
CUST-0CF6EF1A,George Thompson,50,Male,555-268-4027,XXX-XX-2468,"Orlando, FL",Salaried,10000,700,False
CUST-0D0AF3C7,Ashley Green,25,Female,555-947-3852,XXX-XX-8014,"New York, NY",Salaried,10000,820,False
CUST-0D25D199,George Wilson,72,Male,555-895-1731,XXX-XX-8901,"Orlando, FL",Retired,3500,580,False
CUST-0D26FBF7,Patricia Johnson,68,Female,555-012-3456,XXX-XX-8901,"Orlando, FL",Retired,3500,600,False
CUST-0D27B867,Kevin Thompson,31,Male,555-264-9173,XXX-XX-8024,"Orlando, FL",Self-employed,4500,620,False
CUST-0D40025A,Linda Garcia,42,Female,555-234-5678,XXX-XX-3456,"San Francisco, CA",Salaried,8000,620,False
CUST-0D4F6D59,Kevin Lee,38,Male,555-159-7531,XXX-XX-8045,"San Francisco, CA",Salaried,12000,750,False
CUST-0D740138,George Thompson,71,Male,555-963-8520,XXX-XX-0123,"Orlando, FL",Retired,3500,620,False
CUST-0D8EE3A0,Ashley Johnson,22,Female,555-741-8526,XXX-XX-6789,"Los Angeles, CA",Salaried,4500,690,False
CUST-0D91478E,Anthony Reyes,22,Male,555-417-2958,XXX-XX-6802,"San Francisco, CA",Salaried,4800,670,False
CUST-0DC41DD3,George Thompson,71,Male,555-840-6732,XXX-XX-0123,"Orlando, FL",Retired,3500,620,False
CUST-0DC8D152,George Thompson,58,Male,555-012-3456,XXX-XX-1234,"Dallas, TX",Retired,3800,620,False
CUST-0DE05A22,Isabelle Garcia,22,Female,555-963-2581,XXX-XX-4713,"Boston, MA",Salaried,4000,650,False
CUST-0DE9A79A,Kevin O'Connell,30,Male,555-159-3570,XXX-XX-0246,"Dallas, TX",Self-employed,12000,800,False
CUST-0DF3FD34,Anthony Davis,29,Male,555-417-9265,XXX-XX-8036,"New York, NY",Salaried,10000,800,False
CUST-0DFE6A6C,Patricia Davis,68,Female,555-714-9258,XXX-XX-6789,"San Diego, CA",Retired,3800,620,False
CUST-0DFF94AD,Maria Garcia,40,Female,555-159-3571,XXX-XX-4680,"San Antonio, TX",Self-employed,12000,750,False
CUST-0E026A2A,George Thompson,55,Male,555-432-1098,XXX-XX-8024,"Dallas, TX",Salaried,10000,700,True
CUST-0E064C19,Kevin Rodriguez,31,Male,555-852-9637,XXX-XX-4567,"San Francisco, CA",Self-employed,12000,620,False
CUST-0E0C9A2A,Kevin Lee,30,Male,555-840-6789,XXX-XX-8901,"San Francisco, CA",Self-employed,12000,700,False
CUST-0E13419D,George Thompson,70,Male,555-842-0736,XXX-XX-9123,"Orlando, FL",Retired,3200,600,False
CUST-0E1A992E,Patricia Johnson,72,Female,555-714-9638,XXX-XX-2468,"Orlando, FL",Retired,3800,620,False
CUST-0E1BB7B5,Patricia Olsen,71,Female,555-482-9357,XXX-XX-7890,"San Antonio, TX",Retired,3800,580,False
CUST-0E215CEE,George Thompson,70,Male,555-895-2631,XXX-XX-4789,"Orlando, FL",Retired,3500,600,False
CUST-0E5A38F6,Anthony Davis,40,Male,555-086-4209,XXX-XX-8901,"New York, NY",Self-employed,12000,800,True
CUST-0E5E42B1,Maria Garcia,40,Female,555-914-7536,XXX-XX-3579,"New York, NY",Salaried,10000,700,False
CUST-0E5F8FA8,Ashley Taylor,22,Female,555-444-5555,XXX-XX-6789,"New York, NY",Salaried,5000,690,False
CUST-0E84E0F6,Henry Brown,40,Male,555-845-1029,XXX-XX-0123,"Denver, CO",Self-employed,12000,750,False
CUST-0EAB8394,Susan White,40,Female,555-734-8592,XXX-XX-2468,"Chicago, IL",Salaried,8000,750,False
CUST-0EAD1FAA,Linda Garcia,42,Female,555-795-2836,XXX-XX-6789,"San Francisco, CA",Salaried,8000,620,False
CUST-0EAE53D4,Kevin Patel,40,Male,555-159-3572,XXX-XX-8014,"New York, NY",Salaried,10000,750,True
